Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2017-01-05,Scrambler,100.0,
2017-01-05,Scream,100.0,
2017-01-05,SlingShot,100.0,
2017-01-05,Speedy Gonzales Hot Rod Racers,100.0,
2017-01-05,Swashbuckler,100.0,
2017-01-05,Sylvester’s Pounce and Bounce,100.0,
2017-01-05,THE FLASH Speed Force,100.0,
2017-01-05,THE RIDDLER’S Revenge,100.0,
2017-01-05,Tatsu,100.0,
2017-01-05,Taz’s Trucking Co.,100.0,
2017-01-05,The Looney Tunes Lodge,100.0,
2017-01-05,The New Revolution – Classic,100.0,
2017-01-05,Tweety’s Escape,100.0,
2017-01-05,Viper,100.0,
2017-01-05,WONDER WOMAN Lasso of Truth,100.0,
2017-01-05,Whistlestop Train,100.0,
2017-01-05,X2,100.0,
2017-01-05,Yosemite Sam’s Flight School,100.0,
2017-01-05,Twisted Colossus,61.0,
2017-01-05,Apocalypse,0.0,
2017-01-05,GREEN LANTERN: First Flight,0.0,
2017-01-05,Justice League: Battle for Metropolis,0.0,
2017-01-05,LEX LUTHOR: Drop of Doom,0.0,
2017-01-05,Roaring Rapids,0.0,
2017-01-05,SUPERMAN: Escape from Krypton,0.0,
2017-01-05,Tidal Wave,0.0,
2017-01-06,Tatsu,124.0,130.0
2017-01-06,X2,96.0,100.0
2017-01-06,Goliath,81.0,100.0
2017-01-06,Twisted Colossus,64.0,70.0
2017-01-06,Full Throttle,62.0,100.0
2017-01-06,Ninja,59.0,70.0
2017-01-06,BATMAN The Ride,58.0,70.0
2017-01-06,THE RIDDLER’S Revenge,43.0,55.0
2017-01-06,LEX LUTHOR: Drop of Doom,35.0,55.0
2017-01-06,SUPERMAN: Escape from Krypton,31.0,35.0
2017-01-06,Scream,31.0,35.0
2017-01-06,The New Revolution – Classic,24.0,35.0
2017-01-06,Jet Stream,22.0,35.0
2017-01-06,Sandblasters,16.0,35.0
2017-01-06,Road Runner Express,15.0,20.0
2017-01-06,Gold Rusher,12.0,15.0
2017-01-06,Canyon Blaster,11.0,20.0
2017-01-06,Taz’s Trucking Co.,11.0,20.0
2017-01-06,Buccaneer,11.0,15.0
2017-01-06,Swashbuckler,11.0,15.0
2017-01-06,Scrambler,11.0,20.0
2017-01-06,Speedy Gonzales Hot Rod Racers,11.0,20.0
2017-01-06,Daffy’s Adventure Tours,10.0,15.0
2017-01-06,Elmer's Weather Balloons,10.0,15.0
2017-01-06,Grand American Carousel,10.0,15.0
2017-01-06,Merrie Melodies Carousel,10.0,15.0
2017-01-06,Pepe LePew’s Tea Party,10.0,15.0
2017-01-06,Sylvester’s Pounce and Bounce,10.0,15.0
