Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2015-01-09,Pixar Pal-A-Round - Swinging,27.0,60.0
2015-01-09,"Monsters, Inc. Mike & Sulley to the Rescue!",26.0,35.0
2015-01-09,Incredicoaster,15.0,40.0
2015-01-09,Goofy's Sky School,14.0,33.0
2015-01-09,Disney's Aladdin - A Musical Spectacular,14.0,16.0
2015-01-09,Mater's Jingle Jamboree,12.0,26.0
2015-01-09,"Luigi's Flying Tires, presented by Alamo",11.0,19.0
2015-01-09,Silly Symphony Swings,9.0,20.0
2015-01-09,Heimlich's Chew Chew Train,8.0,10.0
2015-01-09,Flik's Flyers,6.0,10.0
2015-01-09,Jessie's Critter Carousel,5.0,10.0
2015-01-09,Animation Academy,5.0,5.0
2015-01-09,Francis' Ladybug Boogie,5.0,5.0
2015-01-09,Golden Zephyr,5.0,5.0
2015-01-09,It's Tough to be a Bug!,5.0,5.0
2015-01-09,Jumpin' Jellyfish,5.0,5.0
2015-01-09,Tuck and Roll's Drive 'Em Buggies,5.0,5.0
2015-01-09,Turtle Talk with Crush,5.0,5.0
2015-01-09,The Little Mermaid - Ariel's Undersea Adventure,4.0,14.0
2015-01-09,Grizzly River Run,4.0,15.0
2015-01-09,Disney Junior - Live on Stage!,,
2015-01-10,Guardians of the Galaxy - Mission: BREAKOUT!,48.0,78.0
2015-01-10,Radiator Springs Racers,43.0,91.0
2015-01-10,Toy Story Midway Mania!,36.0,50.0
2015-01-10,"Monsters, Inc. Mike & Sulley to the Rescue!",22.0,35.0
2015-01-10,Pixar Pal-A-Round - Swinging,20.0,45.0
2015-01-10,Goofy's Sky School,13.0,30.0
2015-01-10,Disney's Aladdin - A Musical Spectacular,13.0,15.0
2015-01-10,Incredicoaster,11.0,23.0
2015-01-10,Disney Junior - Live on Stage!,8.0,11.0
2015-01-10,Mater's Jingle Jamboree,7.0,19.0
2015-01-10,Silly Symphony Swings,7.0,10.0
2015-01-10,"Luigi's Flying Tires, presented by Alamo",5.0,16.0
2015-01-10,Animation Academy,5.0,5.0
2015-01-10,Flik's Flyers,5.0,5.0
2015-01-10,Francis' Ladybug Boogie,5.0,5.0
2015-01-10,Golden Zephyr,5.0,5.0
2015-01-10,Heimlich's Chew Chew Train,5.0,5.0
2015-01-10,It's Tough to be a Bug!,5.0,5.0
2015-01-10,Jessie's Critter Carousel,5.0,5.0
2015-01-10,Jumpin' Jellyfish,5.0,5.0
2015-01-10,Tuck and Roll's Drive 'Em Buggies,5.0,5.0
2015-01-10,Turtle Talk with Crush,5.0,5.0
2015-01-10,The Little Mermaid - Ariel's Undersea Adventure,4.0,13.0
2015-01-10,Grizzly River Run,1.0,5.0
2015-01-11,Radiator Springs Racers,30.0,72.0
2015-01-11,Toy Story Midway Mania!,27.0,40.0
2015-01-11,Guardians of the Galaxy - Mission: BREAKOUT!,23.0,46.0
2015-01-11,Disney's Aladdin - A Musical Spectacular,11.0,14.0
2015-01-11,Goofy's Sky School,10.0,23.0
2015-01-11,Pixar Pal-A-Round - Swinging,10.0,30.0
2015-01-11,Disney Junior - Live on Stage!,7.0,10.0
2015-01-11,Incredicoaster,6.0,18.0
2015-01-11,"Monsters, Inc. Mike & Sulley to the Rescue!",6.0,15.0
2015-01-11,Animation Academy,5.0,5.0
2015-01-11,Flik's Flyers,5.0,5.0
2015-01-11,Francis' Ladybug Boogie,5.0,5.0
2015-01-11,Golden Zephyr,5.0,5.0
2015-01-11,Heimlich's Chew Chew Train,5.0,5.0
2015-01-11,It's Tough to be a Bug!,5.0,5.0
2015-01-11,Jessie's Critter Carousel,5.0,5.0
2015-01-11,Jumpin' Jellyfish,5.0,5.0
2015-01-11,Silly Symphony Swings,5.0,5.0
2015-01-11,Tuck and Roll's Drive 'Em Buggies,5.0,5.0
2015-01-11,Turtle Talk with Crush,5.0,5.0
2015-01-11,Mater's Jingle Jamboree,2.0,15.0
2015-01-11,"Luigi's Flying Tires, presented by Alamo",2.0,8.0
2015-01-11,Grizzly River Run,1.0,6.0
2015-01-11,The Little Mermaid - Ariel's Undersea Adventure,1.0,6.0
2015-01-12,Radiator Springs Racers,50.0,75.0
2015-01-12,Guardians of the Galaxy - Mission: BREAKOUT!,30.0,48.0
2015-01-12,Toy Story Midway Mania!,29.0,50.0
2015-01-12,Pixar Pal-A-Round - Swinging,24.0,30.0
2015-01-12,Incredicoaster,16.0,30.0
2015-01-12,"Monsters, Inc. Mike & Sulley to the Rescue!",15.0,30.0
2015-01-12,Mater's Jingle Jamboree,12.0,36.0
2015-01-12,Disney's Aladdin - A Musical Spectacular,11.0,14.0
2015-01-12,Heimlich's Chew Chew Train,10.0,15.0
2015-01-12,Goofy's Sky School,8.0,23.0
2015-01-12,"Luigi's Flying Tires, presented by Alamo",7.0,17.0
2015-01-12,Disney Junior - Live on Stage!,7.0,10.0
2015-01-12,Animation Academy,5.0,5.0
2015-01-12,Flik's Flyers,5.0,5.0
2015-01-12,Francis' Ladybug Boogie,5.0,5.0
2015-01-12,Golden Zephyr,5.0,5.0
2015-01-12,It's Tough to be a Bug!,5.0,5.0
2015-01-12,Jessie's Critter Carousel,5.0,5.0
2015-01-12,Jumpin' Jellyfish,5.0,5.0
2015-01-12,Silly Symphony Swings,5.0,5.0
2015-01-12,Tuck and Roll's Drive 'Em Buggies,5.0,5.0
2015-01-12,Turtle Talk with Crush,5.0,5.0
2015-01-12,Grizzly River Run,1.0,4.0
2015-01-12,The Little Mermaid - Ariel's Undersea Adventure,1.0,4.0
2015-01-13,Radiator Springs Racers,45.0,86.0
2015-01-13,Guardians of the Galaxy - Mission: BREAKOUT!,37.0,69.0
2015-01-13,Toy Story Midway Mania!,29.0,40.0
2015-01-13,Pixar Pal-A-Round - Swinging,13.0,30.0
2015-01-13,Incredicoaster,13.0,32.0
2015-01-13,"Monsters, Inc. Mike & Sulley to the Rescue!",12.0,20.0
2015-01-13,Goofy's Sky School,11.0,75.0
2015-01-13,Francis' Ladybug Boogie,9.0,10.0
2015-01-13,Disney's Aladdin - A Musical Spectacular,9.0,11.0
2015-01-13,Disney Junior - Live on Stage!,6.0,10.0
2015-01-13,Mater's Jingle Jamboree,6.0,16.0
2015-01-13,Tuck and Roll's Drive 'Em Buggies,5.0,10.0
2015-01-13,"Luigi's Flying Tires, presented by Alamo",5.0,25.0
2015-01-13,Animation Academy,5.0,5.0
2015-01-13,Flik's Flyers,5.0,5.0
2015-01-13,Golden Zephyr,5.0,5.0
2015-01-13,Heimlich's Chew Chew Train,5.0,5.0
2015-01-13,It's Tough to be a Bug!,5.0,5.0
2015-01-13,Jessie's Critter Carousel,5.0,5.0
