Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2018-08-18,DinoPlay,,
2018-08-18,Super Silly Fun Land,,
2018-08-19,Jurassic World — The Ride,48.0,80.0
2018-08-19,Harry Potter and the Forbidden Journey™,46.0,105.0
2018-08-19,The Simpsons Ride™,44.0,70.0
2018-08-19,TRANSFORMERS™: The Ride-3D,40.0,75.0
2018-08-19,Revenge of the Mummy – The Ride,40.0,60.0
2018-08-19,Studio Tour,39.0,55.0
2018-08-19,Kung Fu Panda Adventure,34.0,60.0
2018-08-19,Despicable Me Minion Mayhem,29.0,50.0
2018-08-19,Flight of the Hippogriff™,25.0,50.0
2018-08-19,Ollivanders™,20.0,35.0
2018-08-19,The Walking Dead Attraction,13.0,35.0
2018-08-19,DinoPlay,,
2018-08-19,Super Silly Fun Land,,
2018-08-20,Harry Potter and the Forbidden Journey™,48.0,120.0
2018-08-20,The Simpsons Ride™,47.0,65.0
2018-08-20,Jurassic World — The Ride,41.0,55.0
2018-08-20,Studio Tour,32.0,50.0
2018-08-20,TRANSFORMERS™: The Ride-3D,32.0,50.0
2018-08-20,Revenge of the Mummy – The Ride,31.0,55.0
2018-08-20,Despicable Me Minion Mayhem,30.0,60.0
2018-08-20,Flight of the Hippogriff™,25.0,45.0
2018-08-20,Ollivanders™,25.0,60.0
2018-08-20,Kung Fu Panda Adventure,22.0,45.0
2018-08-20,The Walking Dead Attraction,12.0,25.0
2018-08-20,DinoPlay,,
2018-08-20,Super Silly Fun Land,,
2018-08-21,Harry Potter and the Forbidden Journey™,77.0,150.0
2018-08-21,Jurassic World — The Ride,53.0,75.0
2018-08-21,The Simpsons Ride™,49.0,60.0
2018-08-21,TRANSFORMERS™: The Ride-3D,42.0,55.0
2018-08-21,Studio Tour,42.0,70.0
2018-08-21,Revenge of the Mummy – The Ride,37.0,50.0
2018-08-21,Despicable Me Minion Mayhem,33.0,55.0
2018-08-21,Flight of the Hippogriff™,29.0,50.0
2018-08-21,Ollivanders™,25.0,40.0
2018-08-21,Kung Fu Panda Adventure,23.0,45.0
2018-08-21,The Walking Dead Attraction,18.0,35.0
2018-08-21,DinoPlay,,
2018-08-21,Super Silly Fun Land,,
2018-08-22,TRANSFORMERS™: The Ride-3D,91.0,135.0
2018-08-22,Harry Potter and the Forbidden Journey™,48.0,100.0
2018-08-22,The Simpsons Ride™,47.0,60.0
2018-08-22,Studio Tour,31.0,50.0
2018-08-22,Revenge of the Mummy – The Ride,31.0,50.0
2018-08-22,Jurassic World — The Ride,31.0,40.0
2018-08-22,Despicable Me Minion Mayhem,30.0,55.0
2018-08-22,Ollivanders™,26.0,35.0
2018-08-22,Flight of the Hippogriff™,19.0,40.0
2018-08-22,Kung Fu Panda Adventure,16.0,35.0
2018-08-22,The Walking Dead Attraction,12.0,20.0
2018-08-22,DinoPlay,,
2018-08-22,Super Silly Fun Land,,
2018-08-23,Harry Potter and the Forbidden Journey™,46.0,75.0
2018-08-23,The Simpsons Ride™,43.0,50.0
2018-08-23,TRANSFORMERS™: The Ride-3D,38.0,45.0
2018-08-23,Jurassic World — The Ride,34.0,50.0
2018-08-23,Despicable Me Minion Mayhem,33.0,55.0
2018-08-23,Revenge of the Mummy – The Ride,33.0,45.0
2018-08-23,Ollivanders™,24.0,45.0
2018-08-23,Flight of the Hippogriff™,20.0,45.0
2018-08-23,Studio Tour,18.0,35.0
2018-08-23,Kung Fu Panda Adventure,17.0,30.0
2018-08-23,The Walking Dead Attraction,14.0,25.0
2018-08-23,DinoPlay,,
2018-08-23,Super Silly Fun Land,,
2018-08-24,Harry Potter and the Forbidden Journey™,55.0,95.0
2018-08-24,Jurassic World — The Ride,40.0,55.0
2018-08-24,TRANSFORMERS™: The Ride-3D,38.0,60.0
2018-08-24,The Simpsons Ride™,36.0,50.0
2018-08-24,Revenge of the Mummy – The Ride,33.0,45.0
2018-08-24,Ollivanders™,27.0,40.0
2018-08-24,Despicable Me Minion Mayhem,26.0,55.0
2018-08-24,Studio Tour,22.0,40.0
2018-08-24,Flight of the Hippogriff™,21.0,40.0
2018-08-24,Kung Fu Panda Adventure,20.0,40.0
2018-08-24,The Walking Dead Attraction,15.0,25.0
2018-08-24,DinoPlay,,
2018-08-24,Super Silly Fun Land,,
2018-08-25,Harry Potter and the Forbidden Journey™,76.0,120.0
2018-08-25,Jurassic World — The Ride,66.0,100.0
2018-08-25,TRANSFORMERS™: The Ride-3D,58.0,85.0
2018-08-25,Studio Tour,49.0,90.0
2018-08-25,The Simpsons Ride™,48.0,65.0
2018-08-25,Revenge of the Mummy – The Ride,46.0,70.0
2018-08-25,Flight of the Hippogriff™,35.0,45.0
2018-08-25,Despicable Me Minion Mayhem,32.0,45.0
2018-08-25,Kung Fu Panda Adventure,31.0,55.0
2018-08-25,Ollivanders™,31.0,50.0
2018-08-25,The Walking Dead Attraction,14.0,30.0
2018-08-25,DinoPlay,,
2018-08-25,Super Silly Fun Land,,
2018-08-26,Jurassic World — The Ride,67.0,95.0
2018-08-26,Harry Potter and the Forbidden Journey™,58.0,85.0
2018-08-26,TRANSFORMERS™: The Ride-3D,52.0,70.0
2018-08-26,The Simpsons Ride™,46.0,70.0
2018-08-26,Revenge of the Mummy – The Ride,43.0,65.0
2018-08-26,Kung Fu Panda Adventure,38.0,60.0
2018-08-26,Studio Tour,35.0,60.0
2018-08-26,Despicable Me Minion Mayhem,34.0,45.0
2018-08-26,Flight of the Hippogriff™,28.0,45.0
2018-08-26,Ollivanders™,21.0,40.0
2018-08-26,The Walking Dead Attraction,10.0,20.0
2018-08-26,DinoPlay,,
2018-08-26,Super Silly Fun Land,,
2018-08-27,The Simpsons Ride™,52.0,60.0
2018-08-27,Harry Potter and the Forbidden Journey™,44.0,90.0
2018-08-27,Jurassic World — The Ride,38.0,50.0
2018-08-27,Despicable Me Minion Mayhem,35.0,70.0
2018-08-27,Revenge of the Mummy – The Ride,31.0,45.0
2018-08-27,TRANSFORMERS™: The Ride-3D,30.0,45.0
2018-08-27,Studio Tour,26.0,35.0
2018-08-27,Ollivanders™,26.0,50.0
2018-08-27,Flight of the Hippogriff™,20.0,45.0
2018-08-27,Kung Fu Panda Adventure,17.0,30.0
2018-08-27,The Walking Dead Attraction,12.0,15.0
2018-08-27,DinoPlay,,
2018-08-27,Super Silly Fun Land,,
2018-08-28,The Simpsons Ride™,41.0,50.0
2018-08-28,Jurassic World — The Ride,35.0,50.0
