Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2018-07-27,GhostRider,121.0,140.0
2018-07-27,Sierra Sidewinder,63.0,75.0
2018-07-27,Xcelerator The Ride,50.0,70.0
2018-07-27,HangTime,47.0,50.0
2018-07-27,Timber Mountain Log Ride,38.0,40.0
2018-07-27,Calico River Rapids,36.0,70.0
2018-07-27,Pony Express,36.0,60.0
2018-07-27,Silver Bullet,35.0,60.0
2018-07-27,Coast Rider,31.0,40.0
2018-07-27,Calico Mine Ride,21.0,25.0
2018-07-27,Jaguar!,20.0,20.0
2018-07-27,Voyage to the Iron Reef,19.0,35.0
2018-07-27,Supreme Scream,10.0,10.0
2018-07-27,Montezooma's Revenge,8.0,10.0
2018-07-27,Bloodline 1842,,
2018-07-27,Dark Ride,,
2018-07-27,Paranormal Inc.,,
2018-07-27,Pumpkin Eater,,
2018-07-27,Special Ops: Infected,,
2018-07-27,The Red Barn,,
2018-07-27,Trick or Treat: Lights Out,,
2018-07-28,GhostRider,101.0,120.0
2018-07-28,Xcelerator The Ride,58.0,70.0
2018-07-28,Sierra Sidewinder,56.0,70.0
2018-07-28,Calico River Rapids,56.0,90.0
2018-07-28,HangTime,54.0,70.0
2018-07-28,Jaguar!,44.0,80.0
2018-07-28,Pony Express,41.0,70.0
2018-07-28,Coast Rider,35.0,55.0
2018-07-28,Timber Mountain Log Ride,34.0,50.0
2018-07-28,Silver Bullet,32.0,40.0
2018-07-28,Montezooma's Revenge,25.0,45.0
2018-07-28,Voyage to the Iron Reef,21.0,50.0
2018-07-28,Supreme Scream,16.0,35.0
2018-07-28,Calico Mine Ride,14.0,30.0
2018-07-28,Bloodline 1842,,
2018-07-28,Dark Ride,,
2018-07-28,Paranormal Inc.,,
2018-07-28,Pumpkin Eater,,
2018-07-28,Special Ops: Infected,,
2018-07-28,The Red Barn,,
2018-07-28,Trick or Treat: Lights Out,,
2018-07-29,GhostRider,68.0,70.0
2018-07-29,Calico River Rapids,36.0,50.0
2018-07-29,Timber Mountain Log Ride,34.0,45.0
2018-07-29,HangTime,28.0,70.0
2018-07-29,Xcelerator The Ride,27.0,45.0
2018-07-29,Pony Express,21.0,40.0
2018-07-29,Sierra Sidewinder,18.0,45.0
2018-07-29,Voyage to the Iron Reef,15.0,25.0
2018-07-29,Jaguar!,13.0,20.0
2018-07-29,Coast Rider,13.0,30.0
2018-07-29,Silver Bullet,12.0,15.0
2018-07-29,Calico Mine Ride,9.0,10.0
2018-07-29,Montezooma's Revenge,7.0,10.0
2018-07-29,Supreme Scream,6.0,10.0
2018-07-29,Bloodline 1842,,
2018-07-29,Dark Ride,,
2018-07-29,Paranormal Inc.,,
2018-07-29,Pumpkin Eater,,
2018-07-29,Special Ops: Infected,,
2018-07-29,The Red Barn,,
2018-07-29,Trick or Treat: Lights Out,,
2018-07-30,GhostRider,120.0,120.0
2018-07-30,HangTime,53.0,70.0
2018-07-30,Xcelerator The Ride,40.0,45.0
2018-07-30,Sierra Sidewinder,40.0,40.0
2018-07-30,Calico River Rapids,30.0,30.0
2018-07-30,Jaguar!,25.0,25.0
2018-07-30,Silver Bullet,25.0,25.0
2018-07-30,Coast Rider,15.0,15.0
2018-07-30,Timber Mountain Log Ride,15.0,15.0
2018-07-30,Voyage to the Iron Reef,14.0,25.0
2018-07-30,Calico Mine Ride,10.0,10.0
2018-07-30,Pony Express,10.0,10.0
2018-07-30,Montezooma's Revenge,5.0,5.0
2018-07-30,Supreme Scream,5.0,5.0
2018-07-30,Bloodline 1842,,
2018-07-30,Dark Ride,,
2018-07-30,Paranormal Inc.,,
