Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2024-01-04,Mickey & Minnie's Runaway Railway,,
2024-01-04,Mickey's House and Meet Mickey Mouse,,
2024-01-04,Millennium Falcon: Smugglers Run,,
2024-01-04,Millennium Falcon: Smugglers Run Single Rider,,
2024-01-04,Pirate's Lair on Tom Sawyer Island,,
2024-01-04,Pirates of the Caribbean,,
2024-01-04,Roger Rabbit's Car Toon Spin,,
2024-01-04,Sailing Ship Columbia,,
2024-01-04,Splash Mountain,,
2024-01-04,Star Wars: Rise of the Resistance,,
2024-01-04,Storybook Land Canal Boats,,
2024-01-04,The Many Adventures of Winnie the Pooh,,
2024-01-04,Walt Disney's Enchanted Tiki Room,,
2024-01-05,Peter Pan's Flight,10.0,10.0
2024-01-05,Alice in Wonderland,5.0,5.0
2024-01-05,Buzz Lightyear Astro Blasters,5.0,5.0
2024-01-05,Disneyland Monorail,5.0,5.0
2024-01-05,Dumbo the Flying Elephant,5.0,5.0
2024-01-05,Mad Tea Party,5.0,5.0
2024-01-05,Mr. Toad's Wild Ride,5.0,5.0
2024-01-05,Pinocchio's Daring Journey,5.0,5.0
2024-01-05,Snow White's Enchanted Wish,5.0,5.0
2024-01-05,Space Mountain,5.0,5.0
2024-01-05,Star Tours - The Adventures Continue,5.0,5.0
2024-01-05,Blue Bayou Restaurant,,
2024-01-05,Cafe Orleans,,
2024-01-05,Carnation Café,,
2024-01-05,Oga's Cantina at the Disneyland Resort,,
2024-01-05,River Belle Terrace,,
2024-01-05,"""it's a small world""",,
2024-01-05,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,,
2024-01-05,Astro Orbitor,,
2024-01-05,Autopia,,
2024-01-05,Big Thunder Mountain Railroad,,
2024-01-05,Casey Jr. Circus Train,,
2024-01-05,Chip 'n' Dale's GADGETcoaster,,
2024-01-05,Davy Crockett's Explorer Canoes,,
2024-01-05,Disneyland Railroad,,
2024-01-05,Finding Nemo Submarine Voyage,,
2024-01-05,Goofy's How-to-Play Yard,,
2024-01-05,Great Moments with Mr. Lincoln,,
2024-01-05,Haunted Mansion Holiday,,
2024-01-05,Indiana Jones™ Adventure,,
2024-01-05,Jungle Cruise,,
2024-01-05,King Arthur Carrousel,,
2024-01-05,Matterhorn Bobsleds,,
2024-01-05,Meet Tinker Bell in Pixie Hollow,,
2024-01-05,Mickey & Minnie's Runaway Railway,,
2024-01-05,Mickey's House and Meet Mickey Mouse,,
2024-01-05,Millennium Falcon: Smugglers Run,,
2024-01-05,Millennium Falcon: Smugglers Run Single Rider,,
2024-01-05,Pirate's Lair on Tom Sawyer Island,,
2024-01-05,Pirates of the Caribbean,,
2024-01-05,Roger Rabbit's Car Toon Spin,,
2024-01-05,Sailing Ship Columbia,,
2024-01-05,Splash Mountain,,
2024-01-05,Star Wars: Rise of the Resistance,,
2024-01-05,Storybook Land Canal Boats,,
2024-01-05,The Many Adventures of Winnie the Pooh,,
2024-01-05,Walt Disney's Enchanted Tiki Room,,
2024-01-06,Peter Pan's Flight,22.0,30.0
2024-01-06,Alice in Wonderland,5.0,5.0
2024-01-06,Buzz Lightyear Astro Blasters,5.0,5.0
2024-01-06,Disneyland Monorail,5.0,5.0
2024-01-06,Dumbo the Flying Elephant,5.0,5.0
2024-01-06,King Arthur Carrousel,5.0,5.0
2024-01-06,Mad Tea Party,5.0,5.0
2024-01-06,Mr. Toad's Wild Ride,5.0,5.0
2024-01-06,Pinocchio's Daring Journey,5.0,5.0
2024-01-06,Snow White's Enchanted Wish,5.0,5.0
2024-01-06,Space Mountain,5.0,5.0
2024-01-06,Star Tours - The Adventures Continue,5.0,5.0
2024-01-06,Blue Bayou Restaurant,,
2024-01-06,Cafe Orleans,,
2024-01-06,Carnation Café,,
2024-01-06,Oga's Cantina at the Disneyland Resort,,
2024-01-06,River Belle Terrace,,
2024-01-06,"""it's a small world""",,
2024-01-06,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,,
2024-01-06,Astro Orbitor,,
2024-01-06,Autopia,,
2024-01-06,Big Thunder Mountain Railroad,,
2024-01-06,Casey Jr. Circus Train,,
2024-01-06,Chip 'n' Dale's GADGETcoaster,,
2024-01-06,Davy Crockett's Explorer Canoes,,
2024-01-06,Disneyland Railroad,,
2024-01-06,Finding Nemo Submarine Voyage,,
2024-01-06,Goofy's How-to-Play Yard,,
2024-01-06,Great Moments with Mr. Lincoln,,
2024-01-06,Haunted Mansion Holiday,,
2024-01-06,Indiana Jones™ Adventure,,
2024-01-06,Jungle Cruise,,
2024-01-06,Matterhorn Bobsleds,,
2024-01-06,Meet Tinker Bell in Pixie Hollow,,
2024-01-06,Mickey & Minnie's Runaway Railway,,
2024-01-06,Mickey's House and Meet Mickey Mouse,,
2024-01-06,Millennium Falcon: Smugglers Run,,
2024-01-06,Millennium Falcon: Smugglers Run Single Rider,,
2024-01-06,Pirate's Lair on Tom Sawyer Island,,
2024-01-06,Pirates of the Caribbean,,
2024-01-06,Roger Rabbit's Car Toon Spin,,
2024-01-06,Sailing Ship Columbia,,
2024-01-06,Splash Mountain,,
2024-01-06,Star Wars: Rise of the Resistance,,
2024-01-06,Storybook Land Canal Boats,,
2024-01-06,The Many Adventures of Winnie the Pooh,,
2024-01-06,Walt Disney's Enchanted Tiki Room,,
2024-01-07,Peter Pan's Flight,17.0,20.0
2024-01-07,Alice in Wonderland,5.0,5.0
2024-01-07,Buzz Lightyear Astro Blasters,5.0,5.0
2024-01-07,Dumbo the Flying Elephant,5.0,5.0
2024-01-07,King Arthur Carrousel,5.0,5.0
2024-01-07,Mad Tea Party,5.0,5.0
2024-01-07,Mr. Toad's Wild Ride,5.0,5.0
2024-01-07,Pinocchio's Daring Journey,5.0,5.0
2024-01-07,Snow White's Enchanted Wish,5.0,5.0
2024-01-07,Space Mountain,5.0,5.0
2024-01-07,Star Tours - The Adventures Continue,5.0,5.0
2024-01-07,Blue Bayou Restaurant,,
2024-01-07,Cafe Orleans,,
2024-01-07,Carnation Café,,
2024-01-07,Oga's Cantina at the Disneyland Resort,,
2024-01-07,River Belle Terrace,,
2024-01-07,Disneyland Monorail,,
2024-01-07,"""it's a small world""",,
2024-01-07,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,,
2024-01-07,Astro Orbitor,,
2024-01-07,Autopia,,
2024-01-07,Big Thunder Mountain Railroad,,
2024-01-07,Casey Jr. Circus Train,,
2024-01-07,Chip 'n' Dale's GADGETcoaster,,
2024-01-07,Davy Crockett's Explorer Canoes,,
2024-01-07,Disneyland Railroad,,
2024-01-07,Finding Nemo Submarine Voyage,,
2024-01-07,Goofy's How-to-Play Yard,,
2024-01-07,Great Moments with Mr. Lincoln,,
2024-01-07,Haunted Mansion Holiday,,
2024-01-07,Indiana Jones™ Adventure,,
2024-01-07,Jungle Cruise,,
2024-01-07,Matterhorn Bobsleds,,
2024-01-07,Meet Tinker Bell in Pixie Hollow,,
2024-01-07,Mickey & Minnie's Runaway Railway,,
2024-01-07,Mickey's House and Meet Mickey Mouse,,
2024-01-07,Millennium Falcon: Smugglers Run,,
2024-01-07,Millennium Falcon: Smugglers Run Single Rider,,
2024-01-07,Pirate's Lair on Tom Sawyer Island,,
2024-01-07,Pirates of the Caribbean,,
2024-01-07,Roger Rabbit's Car Toon Spin,,
2024-01-07,Sailing Ship Columbia,,
2024-01-07,Splash Mountain,,
2024-01-07,Star Wars: Rise of the Resistance,,
2024-01-07,Storybook Land Canal Boats,,
2024-01-07,The Many Adventures of Winnie the Pooh,,
2024-01-07,Walt Disney's Enchanted Tiki Room,,
2024-01-08,Peter Pan's Flight,16.0,20.0
2024-01-08,Alice in Wonderland,5.0,5.0
2024-01-08,Buzz Lightyear Astro Blasters,5.0,5.0
2024-01-08,Dumbo the Flying Elephant,5.0,5.0
2024-01-08,King Arthur Carrousel,5.0,5.0
2024-01-08,Mad Tea Party,5.0,5.0
2024-01-08,Mr. Toad's Wild Ride,5.0,5.0
2024-01-08,Pinocchio's Daring Journey,5.0,5.0
2024-01-08,Snow White's Enchanted Wish,5.0,5.0
2024-01-08,Space Mountain,5.0,5.0
2024-01-08,Star Tours - The Adventures Continue,5.0,5.0
2024-01-08,Blue Bayou Restaurant,,
2024-01-08,Cafe Orleans,,
2024-01-08,Carnation Café,,
2024-01-08,Oga's Cantina at the Disneyland Resort,,
2024-01-08,River Belle Terrace,,
2024-01-08,"""it's a small world""",,
2024-01-08,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,,
2024-01-08,Astro Orbitor,,
2024-01-08,Autopia,,
2024-01-08,Big Thunder Mountain Railroad,,
2024-01-08,Casey Jr. Circus Train,,
2024-01-08,Chip 'n' Dale's GADGETcoaster,,
2024-01-08,Davy Crockett's Explorer Canoes,,
2024-01-08,Disneyland Monorail,,
2024-01-08,Disneyland Railroad,,
2024-01-08,Finding Nemo Submarine Voyage,,
2024-01-08,Goofy's How-to-Play Yard,,
2024-01-08,Great Moments with Mr. Lincoln,,
2024-01-08,Haunted Mansion Holiday,,
2024-01-08,Indiana Jones™ Adventure,,
2024-01-08,Jungle Cruise,,
2024-01-08,Matterhorn Bobsleds,,
2024-01-08,Meet Tinker Bell in Pixie Hollow,,
2024-01-08,Mickey & Minnie's Runaway Railway,,
2024-01-08,Mickey's House and Meet Mickey Mouse,,
2024-01-08,Millennium Falcon: Smugglers Run,,
2024-01-08,Millennium Falcon: Smugglers Run Single Rider,,
2024-01-08,Pirate's Lair on Tom Sawyer Island,,
2024-01-08,Pirates of the Caribbean,,
2024-01-08,Roger Rabbit's Car Toon Spin,,
2024-01-08,Sailing Ship Columbia,,
2024-01-08,Splash Mountain,,
2024-01-08,Star Wars: Rise of the Resistance,,
2024-01-08,Storybook Land Canal Boats,,
2024-01-08,The Many Adventures of Winnie the Pooh,,
2024-01-08,Walt Disney's Enchanted Tiki Room,,
2024-01-09,Peter Pan's Flight,11.0,20.0
2024-01-09,Alice in Wonderland,7.0,10.0
2024-01-09,Buzz Lightyear Astro Blasters,5.0,5.0
2024-01-09,Dumbo the Flying Elephant,5.0,5.0
2024-01-09,King Arthur Carrousel,5.0,5.0
2024-01-09,Mad Tea Party,5.0,5.0
2024-01-09,Mr. Toad's Wild Ride,5.0,5.0
2024-01-09,Pinocchio's Daring Journey,5.0,5.0
2024-01-09,Snow White's Enchanted Wish,5.0,5.0
2024-01-09,Space Mountain,5.0,5.0
2024-01-09,Star Tours - The Adventures Continue,5.0,5.0
2024-01-09,Blue Bayou Restaurant,,
2024-01-09,Cafe Orleans,,
2024-01-09,Carnation Café,,
2024-01-09,Oga's Cantina at the Disneyland Resort,,
2024-01-09,River Belle Terrace,,
2024-01-09,Disneyland Monorail,,
2024-01-09,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,,
2024-01-09,Astro Orbitor,,
2024-01-09,Autopia,,
2024-01-09,Big Thunder Mountain Railroad,,
2024-01-09,Casey Jr. Circus Train,,
2024-01-09,Chip 'n' Dale's GADGETcoaster,,
2024-01-09,Davy Crockett's Explorer Canoes,,
2024-01-09,Disneyland Railroad,,
2024-01-09,Finding Nemo Submarine Voyage,,
2024-01-09,Goofy's How-to-Play Yard,,
2024-01-09,Great Moments with Mr. Lincoln,,
2024-01-09,Haunted Mansion Holiday,,
2024-01-09,Indiana Jones™ Adventure,,
2024-01-09,Jungle Cruise,,
2024-01-09,Matterhorn Bobsleds,,
2024-01-09,Meet Tinker Bell in Pixie Hollow,,
2024-01-09,Mickey & Minnie's Runaway Railway,,
2024-01-09,Mickey's House and Meet Mickey Mouse,,
2024-01-09,Millennium Falcon: Smugglers Run,,
2024-01-09,Millennium Falcon: Smugglers Run Single Rider,,
2024-01-09,Pirate's Lair on Tom Sawyer Island,,
2024-01-09,Pirates of the Caribbean,,
2024-01-09,Roger Rabbit's Car Toon Spin,,
2024-01-09,Sailing Ship Columbia,,
2024-01-09,Splash Mountain,,
2024-01-09,Star Wars: Rise of the Resistance,,
2024-01-09,Storybook Land Canal Boats,,
2024-01-09,The Many Adventures of Winnie the Pooh,,
2024-01-09,Walt Disney's Enchanted Tiki Room,,
2024-01-10,Buzz Lightyear Astro Blasters,5.0,5.0
2024-01-10,Disneyland Monorail,5.0,5.0
2024-01-10,Dumbo the Flying Elephant,5.0,5.0
2024-01-10,King Arthur Carrousel,5.0,5.0
2024-01-10,Mad Tea Party,5.0,5.0
2024-01-10,Mr. Toad's Wild Ride,5.0,5.0
2024-01-10,Peter Pan's Flight,5.0,5.0
2024-01-10,Pinocchio's Daring Journey,5.0,5.0
2024-01-10,Snow White's Enchanted Wish,5.0,5.0
2024-01-10,Star Tours - The Adventures Continue,5.0,5.0
2024-01-10,Blue Bayou Restaurant,,
2024-01-10,Cafe Orleans,,
2024-01-10,Carnation Café,,
2024-01-10,Oga's Cantina at the Disneyland Resort,,
2024-01-10,River Belle Terrace,,
2024-01-10,Space Mountain,,
2024-01-10,Alice in Wonderland,,
2024-01-10,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,,
2024-01-10,Astro Orbitor,,
2024-01-10,Autopia,,
2024-01-10,Big Thunder Mountain Railroad,,
2024-01-10,Casey Jr. Circus Train,,
2024-01-10,Chip 'n' Dale's GADGETcoaster,,
2024-01-10,Davy Crockett's Explorer Canoes,,
2024-01-10,Disneyland Railroad,,
2024-01-10,Finding Nemo Submarine Voyage,,
2024-01-10,Goofy's How-to-Play Yard,,
2024-01-10,Great Moments with Mr. Lincoln,,
2024-01-10,Haunted Mansion Holiday,,
2024-01-10,Indiana Jones™ Adventure,,
2024-01-10,Jungle Cruise,,
2024-01-10,Matterhorn Bobsleds,,
2024-01-10,Meet Tinker Bell in Pixie Hollow,,
2024-01-10,Mickey & Minnie's Runaway Railway,,
2024-01-10,Mickey's House and Meet Mickey Mouse,,
2024-01-10,Millennium Falcon: Smugglers Run,,
2024-01-10,Millennium Falcon: Smugglers Run Single Rider,,
2024-01-10,Pirate's Lair on Tom Sawyer Island,,
2024-01-10,Pirates of the Caribbean,,
2024-01-10,Roger Rabbit's Car Toon Spin,,
2024-01-10,Sailing Ship Columbia,,
2024-01-10,Splash Mountain,,
2024-01-10,Star Wars: Rise of the Resistance,,
2024-01-10,Storybook Land Canal Boats,,
2024-01-10,The Many Adventures of Winnie the Pooh,,
2024-01-10,Walt Disney's Enchanted Tiki Room,,
2024-01-11,Peter Pan's Flight,19.0,20.0
2024-01-11,Alice in Wonderland,5.0,5.0
2024-01-11,Buzz Lightyear Astro Blasters,5.0,5.0
2024-01-11,Disneyland Monorail,5.0,5.0
